period,date,translator,source_term,target_term,count,text_id,evidence,confidence
Early (2–3C),250,Demo early translators,citta,心,24,DEMO-T001,示例：平行句中的 citta ↔ 心,0.84
Early (2–3C),250,Demo early translators,citta,意,10,DEMO-T002,示例：平行句中的 citta ↔ 意,0.72
Early (2–3C),250,Demo early translators,citta,識,6,DEMO-T003,示例：平行句中的 citta ↔ 識,0.62
Early (2–3C),250,Demo early translators,manas,心,8,DEMO-T004,示例：平行句中的 manas ↔ 心,0.66
Early (2–3C),250,Demo early translators,manas,意,17,DEMO-T005,示例：平行句中的 manas ↔ 意,0.81
Early (2–3C),250,Demo early translators,manas,識,5,DEMO-T006,示例：平行句中的 manas ↔ 識,0.58
Early (2–3C),250,Demo early translators,vijñāna,心,9,DEMO-T007,示例：平行句中的 vijñāna ↔ 心,0.65
Early (2–3C),250,Demo early translators,vijñāna,意,7,DEMO-T008,示例：平行句中的 vijñāna ↔ 意,0.60
Early (2–3C),250,Demo early translators,vijñāna,識,14,DEMO-T009,示例：平行句中的 vijñāna ↔ 識,0.74
Middle (4–5C),410,Demo middle period,citta,心,42,DEMO-T101,示例：平行句中的 citta ↔ 心,0.91
Middle (4–5C),410,Demo middle period,citta,意,8,DEMO-T102,示例：平行句中的 citta ↔ 意,0.71
Middle (4–5C),410,Demo middle period,citta,識,4,DEMO-T103,示例：平行句中的 citta ↔ 識,0.55
Middle (4–5C),410,Demo middle period,manas,心,4,DEMO-T104,示例：平行句中的 manas ↔ 心,0.59
Middle (4–5C),410,Demo middle period,manas,意,31,DEMO-T105,示例：平行句中的 manas ↔ 意,0.88
Middle (4–5C),410,Demo middle period,manas,識,7,DEMO-T106,示例：平行句中的 manas ↔ 識,0.63
Middle (4–5C),410,Demo middle period,vijñāna,心,5,DEMO-T107,示例：平行句中的 vijñāna ↔ 心,0.58
Middle (4–5C),410,Demo middle period,vijñāna,意,4,DEMO-T108,示例：平行句中的 vijñāna ↔ 意,0.54
Middle (4–5C),410,Demo middle period,vijñāna,識,39,DEMO-T109,示例：平行句中的 vijñāna ↔ 識,0.90
Late (7C),650,Demo late period,citta,心,61,DEMO-T201,示例：平行句中的 citta ↔ 心,0.95
Late (7C),650,Demo late period,citta,意,4,DEMO-T202,示例：平行句中的 citta ↔ 意,0.58
Late (7C),650,Demo late period,citta,識,2,DEMO-T203,示例：平行句中的 citta ↔ 識,0.48
Late (7C),650,Demo late period,manas,心,2,DEMO-T204,示例：平行句中的 manas ↔ 心,0.50
Late (7C),650,Demo late period,manas,意,52,DEMO-T205,示例：平行句中的 manas ↔ 意,0.94
Late (7C),650,Demo late period,manas,識,3,DEMO-T206,示例：平行句中的 manas ↔ 識,0.52
Late (7C),650,Demo late period,vijñāna,心,2,DEMO-T207,示例：平行句中的 vijñāna ↔ 心,0.49
Late (7C),650,Demo late period,vijñāna,意,2,DEMO-T208,示例：平行句中的 vijñāna ↔ 意,0.47
Late (7C),650,Demo late period,vijñāna,識,65,DEMO-T209,示例：平行句中的 vijñāna ↔ 識,0.96
